Species,Longitude,Latitude
white_45,-100.211878,24.898473
white_45,-100.2294683333,24.8924327778
white_45,-100.2129175,24.8986138889
white_45,-100.1831066667,24.8839783333
white_45,-99.164078,24.008639
white_45,-97.363924,32.735203
white_45,-98.636085,29.51419
white_45,-98.4854778462,29.4330694573
white_45,-106.4086216667,35.6650666667
white_45,-98.134675,26.2913966667
white_45,-100.220289,24.887722
white_45,-97.9580712,26.1283176
white_45,-96.7155,32.845
white_45,-100.1686996222,25.601125803
white_45,-97.71935749,30.18871133
white_45,-95.6849975586,30.293056488
white_45,-101.2333163135,33.6540805877
white_45,-95.360244751,29.767332077
white_45,-95.360244751,29.767332077
white_45,-95.4525749479,29.7676008521
white_45,-106.4082633333,35.6647533333
white_45,-95.3416061401,29.8949298859
white_45,-97.816911,32.247415
white_45,-95.4523829185,29.7655016044
white_45,-95.3586666667,29.7642783333
white_45,-102.1230155324,31.9671761105
white_45,-102.1228551865,31.9670358466
white_45,-95.5468925648,30.7141719014
white_45,-98.1934882981,26.1895128619
white_45,-98.193488,26.1890498
white_45,-98.19269008,26.18985561
white_45,-98.19283557,26.18989387
white_45,-95.6993944444,32.673575
white_45,-95.6985916667,32.6699027778
white_45,-97.6210116667,30.2821716667
white_45,-97.7043833333,30.2900783333
white_45,-97.6532435417,30.2212820123
white_45,-100.2031402588,25.6404056549
white_45,-98.265975,26.2067633333
white_45,-95.5502437,30.7146623
white_45,-98.2302633333,26.1775
white_45,-97.685075,30.3513555556
white_45,-97.6666722222,30.273125
white_45,-95.6409241799,29.9026568998
white_45,-95.6744708092,29.1122898112
white_45,-95.6390788175,29.9032782096
white_45,-96.0349853812,29.5382768222
white_45,-98.5748896038,33.862193231
white_45,-97.56772,25.9968
white_45,-95.453358287,29.7673999537
white_45,-95.48648,30.1870466667
white_45,-96.51519383,30.10149499
white_45,-96.2793966667,29.6662616667
white_45,-106.32635916,31.65825195
white_45,-95.450585,29.7654141667
white_45,-95.4420370612,29.7275470633
white_45,-96.2148151422,29.986732269
white_45,-100.9229034115,25.35484727
white_45,-95.4505596031,29.7654785123
white_45,-97.5788816,30.2879512
white_45,-101.8655122834,33.5543883722
white_45,-95.4509304947,29.7641990244
white_45,-95.15584995,29.58198492
white_45,-97.34704197,26.22862889
white_45,-96.51142083,30.10822659
white_45,-95.2521533334,29.3988537742
white_45,-96.3095056918,29.602153902
white_45,-95.1467716043,30.0665760041
white_45,-95.6539533333,29.81878
white_45,-95.2518667181,29.3988191454
white_45,-97.8007194444,30.497325
white_45,-96.1420718288,30.0236063691
white_45,-95.4483155556,29.7611616667
white_45,-95.4481766667,29.7564363889
white_45,-95.4505383333,29.7654333333
white_45,-97.9565912761,26.1267092775
white_45,-95.9131499293,33.2339698737
white_45,-97.1366312945,32.7545379359
white_45,-95.9161612256,33.222805802
white_45,-97.1698533333,26.1452555
white_45,-98.2199701667,32.2164311006
white_45,-98.6398916667,29.29233
white_45,-97.642845,30.6826533333
white_45,-99.7335648538,32.4767490942
white_45,-98.6844416667,29.2723133333
white_45,-100.168313755,25.6010872852
white_45,-98.57125,29.2700966667
white_45,-96.4617919922,32.090665616
white_45,-96.3169583,30.6059325
white_45,-96.3169583,30.6059325
white_45,-95.299707,30.02683701
white_45,-98.353799,30.749405
white_45,-100.3935241699,25.6723213196
white_45,-100.3941421509,25.6724319458
white_45,-102.0984649658,32.0442352295
white_45,-98.4574661255,29.56067276
white_45,-95.12196701,29.56367986
white_45,-97.2045562095,27.943022935
white_45,-96.2936861111,30.5816833333
white_45,-96.2969663719,30.5931470503
white_45,-95.4093189,32.51118263
